t;Rf;VT;VE;VO2;VCO2;RQ;HR;Power;La-
04:05;22,52;1,827;41,143;1596,659333;1461,653318;0,92;108;80;
04:10;20,87;1,877;39,17;1480,783374;1400,209748;0,95;108;80;
04:15;18,67;1,775;33,14;1422,801539;1253,306201;0,88;106;80;
04:20;22,97;1,62;37,218;1528,628604;1341,17111;0,88;106;80;
04:25;22,78;1,7;38,73;1565,328838;1381,522325;0,88;107;80;
04:30;23,23;1,665;38,671;1555,044217;1376,439945;0,89;108;80;
04:35;23,58;1,626;38,338;1520,091287;1369,456494;0,9;108;80;
04:40;21;1,715;36,032;1412,854586;1285,108962;0,91;108;80;
04:45;15,13;2,086;31,566;1350,586595;1204,617105;0,89;109;80;
04:50;19,82;2,017;39,991;1647,509385;1485,871915;0,9;112;80;
04:55;21,25;1,82;38,667;1702,823256;1464,403986;0,86;112;80;
05:00;21,38;1,898;40,575;1821,856772;1552,989497;0,85;111;80;
05:05;22,29;1,701;37,917;1693,043251;1440,164139;0,85;110;80;
05:10;22,58;1,752;39,565;1717,540755;1489,862444;0,87;109;80;
05:15;21,57;1,872;40,386;1661,047311;1490,726095;0,9;108;80;
05:20;22,3;1,947;43,435;1750,57773;1583,180549;0,9;108;80;
05:25;21,45;1,916;41,103;1691,817676;1520,285923;0,9;109;80;
05:30;23,05;1,726;39,772;1737,988949;1509,031133;0,87;110;100;
05:35;23,89;1,676;40,049;1790,456059;1538,159521;0,86;110;100;
05:40;23,89;1,811;43,27;1846,263277;1618,797588;0,88;110;100;
05:45;21,35;1,914;40,865;1743,744272;1539,100506;0,88;111;100;
05:50;20,64;2,011;41,522;1766,77958;1566,12052;0,89;114;100;
05:55;20,36;1,992;40,551;1758,572355;1552,117967;0,9;108;100;
06:00;21,45;1,916;41,103;1691,817676;1520,285923;0,9;109;100;
06:05;23,05;1,726;39,772;1737,988949;1509,031133;0,87;110;100;
06:10;23,89;1,676;40,049;1790,456059;1538,159521;0,86;110;100;
06:15;23,89;1,811;43,27;1846,263277;1618,797588;0,88;110;100;
06:20;21,35;1,914;40,865;1743,744272;1539,100506;0,88;111;100;
06:25;23,64;1,807;42,721;1731,033835;1600,512036;0,92;115;100;
06:30;21,9;1,861;40,748;1636,894248;1538,086957;0,94;115;100;
06:35;23,23;1,824;42,372;1780,544906;1602,751846;0,92;117;100;
06:40;24,13;1,795;43,315;1744,978574;1606,128005;0,92;118;100;
06:45;23,18;1,844;42,734;1713,316357;1598,167599;0,93;119;100;
06:50;23,62;1,84;43,472;1692,728809;1610,841814;0,95;119;100;
06:55;23,51;1,884;44,304;1715,520182;1632,428085;0,95;120;100;1,4
07:00;24,42;2,029;49,551;1849,925905;1775,061205;0,96;121;100;
07:05;24,25;1,988;48,209;1773,207781;1719,051145;0,97;122;100;
07:10;24,52;2,001;49,057;1805,188086;1762,726746;0,98;121;100;
07:15;27,08;1,788;48,414;1785,463036;1740,308729;0,97;122;100;
07:20;25,05;1,845;46,221;1719,852841;1683,297673;0,98;123;100;
07:25;23,51;1,88;44,195;1679,618081;1629,179106;0,97;125;100;
07:30;21,03;1,971;41,436;1672,167849;1584,28468;0,95;125;100;
07:35;19,79;2,06;40,763;1704,397553;1580,535511;0,93;125;100;
07:40;21,62;1,931;41,762;1784,33122;1623,034043;0,91;125;100;
07:45;24,57;1,828;44,912;1834,939815;1687,17595;0,92;125;100;
07:50;27,99;1,781;49,857;1934,058342;1816,863137;0,94;125;100;
07:55;25,81;1,932;49,849;1875,702271;1796,471534;0,96;125;100;
08:00;24,42;2,029;49,551;1849,925905;1775,061205;0,96;121;100;
08:05;24,25;1,988;48,209;1773,207781;1719,051145;0,97;122;100;
08:10;24,52;2,001;49,057;1796,188086;1762,726746;0,98;121;100;
08:15;27,08;1,788;48,414;1785,463036;1740,308729;0,97;122;100;
08:20;25,05;1,845;46,221;1719,852841;1683,297673;0,98;123;100;
08:25;23,51;1,88;44,195;1679,618081;1629,179106;0,97;125;100;
08:30;22,04;2,105;46,406;1743,363483;1725,865369;0,99;129;100;
08:35;26,54;1,776;47,129;1809,087116;1697,698779;0,94;129;100;
08:40;25,99;1,793;46,596;1864,804296;1714,545346;0,92;130;100;
08:45;25,91;1,835;47,539;1908,792349;1747,412276;0,92;130;100;
08:50;26,26;1,873;49,192;1961,042171;1830,421467;0,93;131;100;
08:55;26,13;1,933;50,523;1922,701165;1841,364698;0,96;132;100;
09:00;25,3;1,967;49,771;1866,394165;1814,458536;0,97;134;100;
09:05;25,19;2,022;50,943;1895,648602;1855,891933;0,98;137;100;
09:10;25,1;2,042;51,276;1889,534357;1857,636456;0,98;138;100;
09:15;23,33;2,197;51,262;1907,912643;1897,452074;0,99;138;100;
09:20;24;2,098;50,34;1862,027156;1838,680736;0,99;139;100;
09:25;24,26;2,154;52,257;1964,472152;1916,306338;0,98;140;100;
09:30;25,25;2,05;51,757;1929,577212;1867,534003;0,97;142;100;
09:35;27,35;1,978;54,09;2004,496323;1935,539516;0,97;143;100;
09:40;26,29;1,965;51,667;1862,73884;1845,785886;0,99;143;100;
09:45;28,59;1,927;55,094;1930,558914;1925,226536;1;142;100;
09:50;25,3;1,967;49,771;1866,394165;1814,458536;0,97;134;100;
09:55;25,19;2,022;50,943;1895,648602;1855,891933;0,98;137;100;1,6
10:00;25,1;2,042;51,276;1889,534357;1857,636456;0,98;138;100;
10:05;23,33;2,197;51,262;1907,912643;1897,452074;0,99;138;120;
10:10;24;2,098;50,34;1862,027156;1838,680736;0,99;139;120;
10:15;24,26;2,154;52,257;1964,472152;1916,306338;0,98;140;120;
10:20;25,25;2,05;51,757;1929,577212;1867,534003;0,97;142;120;
10:25;24,64;2,04;50,259;1828,157177;1825,751487;1;135;120;
10:30;25,54;1,983;50,661;1841,591283;1839,04935;1;135;120;
10:35;26,12;1,93;50,407;1829,602492;1827,738622;1;137;120;
10:40;26,74;1,8;48,12;1830,009038;1750,586319;0,96;139;120;
10:45;23,42;2,212;51,806;1968,057174;1879,850808;0,96;142;120;
10:50;19,25;2,564;49,364;1933,591671;1874,8191;0,97;144;120;
10:55;20,59;2,497;51,408;1972,29477;1930,331092;0,98;144;120;
11:00;21,74;2,245;48,806;1874,747927;1840,202743;0,98;143;120;
11:05;26,4;2,012;53,123;2004,030894;1922,576245;0,96;142;120;
11:10;21,96;2,299;50,504;1957,074467;1893,785486;0,97;141;120;
11:15;22,4;2,326;52,118;2065,614531;1974,273316;0,96;142;120;
11:20;22,85;2,366;54,051;2059,825306;1989,72669;0,97;144;120;
11:25;28,69;2,106;60,429;2168,851631;2111,951497;0,97;144;120;
11:30;29,61;2,062;61,064;1968,057174;1879,850808;0,96;142;120;
11:35;26,74;1,8;48,12;1933,591671;1874,8191;0,97;144;120;
11:40;23,42;2,212;51,806;1972,29477;1930,331092;0,98;144;120;
11:45;19,25;2,564;49,364;1874,747927;1840,202743;0,98;143;120;
11:50;20,59;2,497;51,408;2004,030894;1922,576245;0,96;142;120;
11:55;21,74;2,245;48,806;2032,074467;1893,785486;0,97;141;120;
12:00;26,4;2,012;53,123;2065,614531;1974,273316;0,96;142;120;
12:05;21,96;2,299;50,504;2059,825306;1989,72669;0,97;144;120;
12:10;24,37;2,427;59,16;2158,012857;2136,637989;0,99;148;120;
12:15;27,36;2,238;61,231;2183,129303;2174,762799;1;148;120;
12:20;27,78;2,297;63,81;2107,960279;2166,670594;1,03;149;120;
12:25;29,95;2,091;62,622;1999,180912;2081,642984;1,04;148;120;
12:30;23,39;2,342;54,764;1900,60552;1885,627549;1,04;149;120;
12:35;24,56;2,214;54,36;1888,12466;1909,549544;1,01;151;120;
12:40;24,2;2,305;55,783;1935,504979;1949,212012;1,01;153;120;
12:45;29,36;2,138;62,758;2143,306094;2153,238885;1;156;120;
12:50;30,06;2,117;63,624;2084,853337;2128,085486;1,02;157;120;
12:55;30,36;2,106;63,949;2083,31672;2144,446706;1,03;157;120;
13:00;29,94;2,123;63,571;2119,12834;2184,505952;1,03;158;120;1,9
13:05;28,1;2,176;61,127;2064,450373;2123,762353;1,03;159;140;
13:10;27,84;2,162;60,183;2063,157552;2097,224018;1,02;159;140;
13:15;24,56;2,214;54,36;2069,22403;2092,458909;1,01;160;140;
13:20;24,2;2,305;55,783;2082,180027;2111,017147;1,01;160;140;
13:25;29,36;2,138;62,758;2084,853337;2128,085486;1,02;157;140;
13:30;30,06;2,117;63,624;2083,31672;2144,446706;1,03;157;140;
13:35;30,36;2,106;63,949;2119,12834;2184,505952;1,03;158;140;
13:40;29,94;2,123;63,571;2064,450373;2123,762353;1,03;159;140;
13:45;31,92;2,004;63,976;2063,157552;2097,224018;1,02;159;140;
13:50;31,98;2,035;65,071;2069,22403;2092,458909;1,01;160;140;
13:55;32,1;2,032;65,207;2300,143173;2202,466228;1,02;160;140;
14:00;32,46;2,016;65,454;2265,88945;2204,877237;1,01;160;140;
14:05;29,37;2,068;60,742;2154,767097;2086,241899;1,01;160;140;
14:10;28,5;2,21;62,981;2194,128348;2199,329881;1;160;140;
14:15;29,42;2,163;63,624;2196,72575;2214,391435;1,01;160;140;
14:20;32,72;2,15;70,35;2336,761237;2389,090069;1,02;161;140;
14:25;33,26;2,071;68,888;2204,057681;2286,358392;1,04;160;140;
14:30;26,18;2,435;63,731;2051,68101;2144,446642;1,05;160;140;
14:35;24,86;2,519;62,633;2102,713083;2151,433534;1,02;161;140;
14:40;23,45;2,637;61,829;2105,686601;2155,064759;1,02;162;140;
14:45;27,72;2,358;65,366;2248,68427;2274,802132;1,01;163;140;
14:50;32,46;2,016;65,454;2232,963193;2277,038375;1,02;163;140;
14:55;29,37;2,068;60,742;2252,866395;2287,155715;1,02;164;140;
15:00;28,5;2,21;62,981;2204,057681;2286,358392;1,04;160;140;
15:05;29,42;2,163;63,624;2051,68101;2144,446642;1,05;160;140;
15:10;32,72;2,15;70,35;2102,713083;2151,433534;1,02;161;140;
15:15;33,26;2,071;68,888;2105,686601;2155,064759;1,02;162;140;
15:20;26,18;2,435;63,731;2248,68427;2274,802132;1,01;163;140;
15:25;24,86;2,519;62,633;2232,963193;2277,038375;1,02;163;140;
15:30;23,45;2,637;61,829;2252,866395;2287,155715;1,02;164;140;
15:35;32,82;2,278;74,768;2246,147647;2377,423628;1,06;168;140;
15:40;28,57;2,502;71,476;2196,899768;2348,944612;1,07;168;140;
15:45;29,49;2,345;69,146;2203,375973;2291,613867;1,04;167;160;
15:50;26,97;2,403;64,804;2147,803379;2202,144308;1,03;166;160;
15:55;30,8;2,166;66,7;2218,567803;2212,656611;1;167;160;2,9
16:00;30,71;2,241;68,817;2224,339118;2257,751434;1,02;168;160;
16:05;33,77;2,177;73,531;2308,005288;2354,805588;1,02;169;160;
16:10;33,62;2,186;73,487;2268,731754;2325,660274;1,03;169;160;
16:15;34,55;2,153;74,384;2282,230617;2337,205387;1,02;169;160;
16:20;30,24;2,369;71,632;2284,772127;2362,113379;1,03;170;160;
16:25;28,57;2,502;71,476;2342,002194;2422,258753;1,03;171;160;
16:30;29,49;2,345;69,146;2264,529439;2363,214941;1,04;171;160;
16:35;26,97;2,403;64,804;2336,10481;2399,093291;1,03;171;160;
16:40;30,8;2,166;66,7;2288,782506;2362,153166;1,03;171;160;
16:45;30,71;2,241;68,817;2391,532176;2440,849228;1,02;170;160;
16:50;33,77;2,177;73,531;2356,238781;2438,521637;1,03;169;160;
16:55;33,62;2,186;73,487;2224,339118;2257,751434;1,02;168;160;
17:00;34,55;2,153;74,384;2308,005288;2354,805588;1,02;169;160;
17:05;30,24;2,369;71,632;2268,731754;2325,660274;1,03;169;160;
17:10;31,11;2,493;77,558;2282,230617;2337,205387;1,02;169;160;
17:15;29,27;2,576;75,402;2284,772127;2362,113379;1,03;170;160;
17:20;27,49;2,624;72,14;2342,002194;2422,258753;1,03;171;160;
17:25;27,52;2,581;71,031;2264,529439;2363,214941;1,04;171;160;
17:30;28,12;2,572;72,331;2336,10481;2399,093291;1,03;171;160;
17:35;32,01;2,383;76,279;2288,782506;2362,153166;1,03;171;160;
17:40;32,45;2,447;79,413;2391,532176;2440,849228;1,02;170;160;
17:45;30,66;2,491;76,362;2382,577221;2463,882707;1,03;172;180;
17:50;29,48;2,631;77,587;2459,674926;2549,990241;1,04;172;180;
17:55;29,1;2,556;74,39;2411,318781;2464,447943;1,02;172;180;
18:00;34,05;2,415;82,224;2625,323533;2629,679199;1;173;180;
18:05;32,47;2,391;77,652;2471,179714;2494,86889;1,01;173;180;
18:10;33,09;2,439;80,717;2509,487611;2571,098734;1,02;174;180;
18:15;32,63;2,511;81,934;2500,474257;2604,956769;1,04;174;180;
18:20;36,11;2,452;88,54;2551,664171;2673,341444;1,05;175;180;
18:25;33,1;2,5;82,751;2448,826648;2565,055352;1,05;175;180;
18:30;33,38;2,504;83,601;2475,800978;2584,720061;1,04;175;180;
18:35;33,17;2,502;82,975;2467,571888;2587,018082;1,05;175;180;
18:40;30,66;2,491;76,362;2476,744609;2583,808066;1,04;175;180;
18:45;29,48;2,631;77,587;2351,813748;2447,072248;1,04;174;180;
18:50;29,1;2,556;74,39;2395,593665;2460,541012;1,03;174;180;3,9
18:55;34,05;2,415;82,224;2459,674926;2549,990241;1,04;172;180;
19:00;32,47;2,391;77,652;2411,318781;2464,447943;1,02;172;180;
19:05;33,09;2,439;80,717;2625,323533;2629,679199;1;173;180;
19:10;32,63;2,511;81,934;2471,179714;2494,86889;1,01;173;180;
19:15;36,11;2,452;88,54;2509,487611;2571,098734;1,02;174;180;
19:20;33,1;2,5;82,751;2500,474257;2604,956769;1,04;174;180;
19:25;33,67;2,457;82,708;2551,664171;2673,341444;1,05;175;180;
19:30;32,12;2,534;81,414;2448,826648;2565,055352;1,05;175;180;
19:35;36,34;2,478;90,061;2475,800978;2584,720061;1,04;175;180;
19:40;34,42;2,487;85,595;2510,412495;2594,277911;1,03;177;180;
19:45;35,83;2,473;88,618;2560,550354;2649,939999;1,03;177;200;
19:50;37,11;2,435;90,346;2580,097344;2686,805785;1,04;178;200;
19:55;39,07;2,449;95,684;2627,731826;2778,819765;1,06;178;200;
20:00;37,82;2,392;90,463;2562,63583;2686,106737;1,05;178;200;
20:05;37,61;2,395;90,072;2573,157813;2671,905476;1,04;178;200;
20:10;38,83;2,318;90,012;2608,528622;2667,405556;1,02;178;200;
20:15;41,37;2,287;94,605;2652,044302;2725,431885;1,03;177;200;
20:20;39,5;2,383;94,124;2651,271273;2755,927071;1,04;177;200;
20:25;37,42;2,495;93,354;2656,489299;2760,505288;1,04;176;200;
20:30;35,83;2,473;88,618;2464,677589;2549,080166;1,03;176;200;
20:35;37,11;2,435;90,346;2602,245805;2612,866926;1;176;200;
20:40;39,07;2,449;95,684;2622,457912;2617,849973;1;176;200;
20:45;37,82;2,392;90,463;2940,840578;2952,352668;1;176;200;
20:50;37,61;2,395;90,072;2783,602689;2851,433321;1,02;177;200;
20:55;38,83;2,318;90,012;2859,189679;2947,283861;1,03;178;200;
21:00;41,37;2,287;94,605;2560,550354;2649,939999;1,03;177;200;
21:05;39,5;2,383;94,124;2580,097344;2686,805785;1,04;178;200;
21:10;37,42;2,495;93,354;2627,731826;2778,819765;1,06;178;200;
21:15;36,31;2,587;93,943;2562,63583;2686,106737;1,05;178;200;
21:20;34,99;2,655;92,897;2573,157813;2671,905476;1,04;178;200;
21:25;34,33;2,703;92,786;2608,528622;2667,405556;1,02;178;200;
21:30;37,91;2,726;103,337;2652,044302;2725,431885;1,03;177;200;
21:35;39,09;2,664;104,122;2818,399337;2955,215651;1,05;180;200;
21:40;38,39;2,661;102,177;2794,738053;2941,615148;1,05;180;200;
21:45;35,95;2,705;97,25;2750,838363;2881,718641;1,05;180;200;
21:50;36,66;2,723;99,809;2823,739279;2935,284806;1,04;180;200;
21:55;36,91;2,798;103,292;2847,275038;2978,194531;1,05;181;200;5,6
22:00;40,06;2,746;109,994;2890,158112;3056,929451;1,06;181;200;
22:05;37,6;2,732;102,727;2742,482179;2921,422823;1,07;181;200;
22:10;37,42;2,732;102,229;2782,74391;2952,612391;1,06;181;200;
22:15;37,6;2,703;101,632;2805,699947;2930,923686;1,04;181;200;
22:20;40,57;2,675;108,509;2917,726194;3036,116339;1,04;182;200;
22:25;38,39;2,661;102,177;2794,738053;2941,615148;1,05;180;200;
22:30;35,95;2,705;97,25;2750,838363;2881,718641;1,05;180;200;
22:35;36,66;2,723;99,809;2823,739279;2935,284806;1,04;180;200;
22:40;36,91;2,798;103,292;2847,275038;2978,194531;1,05;181;200;
22:45;40,06;2,746;109,994;2890,158112;3056,929451;1,06;181;200;
22:50;37,6;2,732;102,727;2742,482179;2921,422823;1,07;181;200;
22:55;37,42;2,732;102,229;2782,74391;2952,612391;1,06;181;200;
23:00;37,6;2,703;101,632;2805,699947;2930,923686;1,04;181;200;
23:05;37,53;2,858;107,243;2803,081034;3036,116339;1,04;184;200;
23:10;38,05;2,833;107,818;2848,684707;3079,771138;1,08;183;200;
23:15;37,4;2,873;107,435;2857,745824;3061,966257;1,07;182;200;
23:20;42,76;2,785;119,069;2975,42265;3208,558569;1,08;186;200;
23:25;41,55;2,82;117,173;2898,519459;3160,781822;1,09;184;200;
23:30;40,53;2,783;112,799;2825,847234;3069,070571;1,09;183;200;
23:35;40,43;2,803;113,306;2875,153942;3096,857955;1,08;182;200;
23:40;40,29;2,865;115,447;2935,946186;3135,295849;1,07;186;200;
23:45;42,88;2,876;123,32;3045,910341;3269,943009;1,07;187;200;
23:50;41,73;2,882;120,268;2957,703447;3197,907602;1,08;188;200;
23:55;43,97;2,853;125,456;3000,538594;3257,363049;1,09;189;200;
24:00:00;38,05;2,833;107,818;2923,982159;3171,448073;1,08;186;200;
24:05:00;37,4;2,873;107,435;2987,297121;3234,156886;1,08;188;200;
24:10:00;42,76;2,785;119,069;2920,716384;3175,327725;1,09;187;200;
24:15:00;41,55;2,82;117,173;2984,478711;3245,793656;1,09;189;200;
24:20:00;40,53;2,783;112,799;3008,28512;3362,331258;1,09;188;200;
24:25:00;40,43;2,803;113,306;3001,60078;3239,289373;1,08;186;200;
24:30:00;40,29;2,865;115,447;3049,874443;3426,456033;1,08;187;200;
24:35:00;42,88;2,876;123,32;3003,411775;3245,002347;1,08;188;200;
24:40:00;41,73;2,882;120,268;3038,28353;3307,177244;1,09;189;200;
24:45:00;43,97;2,853;125,456;3106,094065;3485,749916;1,05;186;200;
24:50:00;42,69;2,952;126,005;3154,146841;3305,626509;1,05;188;200;7,6
24:55:00;44,74;2,933;131,2;3163,125353;3316,880666;1,05;187;200;
25:00:00;48,26;2,902;140,031;3026,838075;3484,301922;1,1;189;200;
25:05:00;48;2,903;139,356;2931,880278;3500,040819;1,12;188;200;
